SGB	Classification	Taxonomy	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain
SGB6074	uSGB	k__Bacteria-p__Fusobacteria-c__Fusobacteriia-o__Fusobacteriales-f__Leptotrichiaceae-g__GGB4400-s__GGB4400_SGB6074-t__SGB6074	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	GGB4400	GGB4400_SGB6074	SGB6074
SGB6256	uSGB	k__Bacteria-p__Firmicutes-c__CFGB1764-o__OFGB1764-f__FGB1764-g__GGB4538-s__GGB4538_SGB6256-t__SGB6256	Bacteria	Firmicutes	CFGB1764	OFGB1764	FGB1764	GGB4538	GGB4538_SGB6256	SGB6256
SGB6537	uSGB	k__Bacteria-p__Firmicutes-c__CFGB1780-o__OFGB1780-f__FGB1780-g__GGB4721-s__GGB4721_SGB6537-t__SGB6537	Bacteria	Firmicutes	CFGB1780	OFGB1780	FGB1780	GGB4721	GGB4721_SGB6537	SGB6537
SGB6555	uSGB	k__Bacteria-p__Fusobacteria-c__CFGB1781-o__OFGB1781-f__FGB1781-g__GGB4733-s__GGB4733_SGB6555-t__SGB6555	Bacteria	Fusobacteria	CFGB1781	OFGB1781	FGB1781	GGB4733	GGB4733_SGB6555	SGB6555
SGB6622	kSGB	k__Bacteria-p__Firmicutes-c__Clostridia-o__Clostridiales-f__Peptostreptococcaceae-g__Peptoanaerobacter-s__Eubacterium_yurii-t__SGB6622	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptoanaerobacter	Eubacterium_yurii	SGB6622
SGB6629	kSGB	k__Bacteria-p__Firmicutes-c__Clostridia-o__Clostridiales-f__Peptostreptococcaceae-g__Filifactor-s__Filifactor_alocis-t__SGB6629	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Filifactor	Filifactor_alocis	SGB6629
SGB6649	uSGB	k__Bacteria-p__Firmicutes-c__Tissierellia-o__Tissierellales-f__Peptoniphilaceae-g__Parvimonas-s__Parvimonas_SGB6649-t__SGB6649	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas	Parvimonas_SGB6649	SGB6649
SGB6653	kSGB	k__Bacteria-p__Firmicutes-c__Tissierellia-o__Tissierellales-f__Peptoniphilaceae-g__Parvimonas-s__Parvimonas_micra-t__SGB6653	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas	Parvimonas_micra	SGB6653
SGB6820	kSGB	k__Bacteria-p__Firmicutes-c__Erysipelotrichia-o__Erysipelotrichales-f__Erysipelotrichaceae-g__Bulleidia-s__Bulleidia_extructa-t__SGB6820	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	Bulleidia_extructa	SGB6820
SGB6889	uSGB	k__Bacteria-p__Firmicutes-c__CFGB1860-o__OFGB1860-f__FGB1860-g__GGB4936-s__GGB4936_SGB6889-t__SGB6889	Bacteria	Firmicutes	CFGB1860	OFGB1860	FGB1860	GGB4936	GGB4936_SGB6889	SGB6889
